0.23,-0.85,9.64,6392.00
0.25,-0.84,9.65,6397.00
0.25,-0.82,9.64,6402.00
0.26,-0.81,9.64,6408.00
0.27,-0.79,9.64,6414.00
0.28,-0.78,9.64,6419.00
0.30,-0.76,9.62,6424.00
0.31,-0.75,9.62,6429.00
0.32,-0.76,9.64,6435.00
0.31,-0.77,9.64,6440.00
0.31,-0.77,9.65,6445.00
0.32,-0.77,9.65,6450.00
0.32,-0.77,9.62,6455.00
0.32,-0.76,9.61,6460.00
0.32,-0.74,9.62,6466.00
0.31,-0.72,9.63,6471.00
0.32,-0.71,9.64,6476.00
0.32,-0.73,9.64,6481.00
0.31,-0.74,9.65,6486.00
0.31,-0.76,9.65,6491.00
0.29,-0.78,9.64,6497.00
0.28,-0.79,9.65,6502.00
0.27,-0.77,9.67,6507.00
0.27,-0.77,9.67,6512.00
0.27,-0.76,9.68,6517.00
0.27,-0.76,9.68,6522.00
0.27,-0.75,9.68,6527.00
0.28,-0.74,9.68,6532.00
0.29,-0.71,9.66,6538.00
0.29,-0.67,9.67,6543.00
0.30,-0.64,9.67,6548.00
0.30,-0.63,9.67,6553.00
0.31,-0.63,9.67,6558.00
0.31,-0.65,9.67,6564.00
0.31,-0.69,9.67,6569.00
0.31,-0.70,9.65,6574.00
0.32,-0.70,9.63,6579.00
0.35,-0.70,9.63,6584.00
0.37,-0.70,9.64,6589.00
0.37,-0.70,9.66,6595.00
0.38,-0.69,9.68,6600.00
0.38,-0.69,9.67,6605.00
0.40,-0.68,9.67,6610.00
0.39,-0.67,9.68,6615.00
0.37,-0.67,9.66,6621.00
0.36,-0.65,9.66,6626.00
0.37,-0.63,9.65,6631.00
0.39,-0.60,9.66,6636.00
0.41,-0.63,9.67,6641.00
0.39,-0.60,9.64,6646.00
0.40,-0.61,9.63,6652.00
0.42,-0.64,9.64,6657.00
0.37,-0.66,9.62,6662.00
0.38,-0.65,9.65,6667.00
0.37,-0.64,9.67,6674.00
0.39,-0.40,9.71,6681.00
0.53,-0.45,9.67,6686.00
0.60,-0.49,9.69,6693.00
0.55,-0.54,9.56,6698.00
0.49,-0.66,9.61,6704.00
0.50,-0.50,9.73,6709.00
0.47,-0.63,9.61,6715.00
0.52,-0.56,9.67,6721.00
0.53,-0.53,9.66,6727.00
0.54,-0.53,9.67,6732.00
0.55,-0.49,9.70,6738.00
0.51,-0.54,9.67,6744.00
0.45,-0.62,9.68,6749.00
0.40,-0.65,9.70,6754.00
0.33,-0.71,9.65,6759.00
0.28,-0.78,9.62,6764.00
0.27,-0.90,9.60,6770.00
0.29,-0.96,9.60,6775.00
0.29,-0.99,9.59,6781.00
0.32,-0.99,9.63,6786.00
0.34,-0.95,9.65,6792.00
0.38,-0.86,9.67,6797.00
